Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2011-4-8,0,0,7,BOS,NYY,1-6,4,4.5,D,37178,+
2011-4-9,1,0,8,BOS,NYY,1-7,4,5.0,D,37488,-
2011-4-10,1,0,9,BOS,NYY,2-7,4,4.0,N,37861,+
2011-4-11,0,0,10,BOS,TBR,2-8,4,4.5,N,37568,-
2011-4-12,0,0,11,BOS,TBR,2-9,5,5.0,N,37015,--
2011-4-15,0,0,12,BOS,TOR,2-10,5,5.0,N,37467,---
2011-4-16,1,0,13,BOS,TOR,3-10,5,5.0,D,37310,+
2011-4-17,1,0,14,BOS,TOR,4-10,5,5.0,D,37802,++
2011-4-18,0,0,15,BOS,TOR,5-10,5,4.5,D,37916,+++
2011-4-29,0,0,25,BOS,SEA,11-14,5,4.0,N,37845,-
2011-4-30,1,0,26,BOS,SEA,11-15,5,5.0,N,37901,--
2011-5-1,1,0,27,BOS,SEA,12-15,5,5.0,D,37079,+
2011-5-2,0,0,28,BOS,LAA,13-15,4,5.0,N,37017,++
2011-5-3,0,0,29,BOS,LAA,14-15,3,4.0,N,37043,+++
2011-5-4,0,0,30,BOS,LAA,14-16,4,4.0,N,37037,-
2011-5-5,0,0,31,BOS,LAA,14-17,4,4.0,D,37013,--
2011-5-6,0,0,32,BOS,MIN,14-18,5,5.0,N,37798,---
2011-5-7,1,0,33,BOS,MIN,15-18,3,4.0,D,37234,+
2011-5-8,1,0,34,BOS,MIN,16-18,3,4.0,D,37526,++
2011-5-9,0,0,35,BOS,MIN,17-18,3,3.5,N,37276,+++
2011-5-16,0,0,41,BOS,BAL,21-20,2,3.0,N,37138,++++
2011-5-18,0,0,42,BOS,DET,22-20,3,2.5,N,37311,+++++
2011-5-19,0,0,43,BOS,DET,23-20,3,1.5,N,37660,++++++
2011-5-20,0,0,44,BOS,CHC,24-20,2,0.5,N,37140,+++++++
2011-5-21,1,0,45,BOS,CHC,24-21,3,0.5,N,37798,-
