| 2014-09-27   | 1               | 0                 | 161        | BOS        | NYY         | 71-90      | 5            | 24.0       | D            | 37147              | +              |
| 2014-09-28   | 1               | 0                 | 162        | BOS        | NYY         | 71-91      | 5            | 25.0       | D            | 36879              | -              |
| NULL         | NULL            | NULL              | NULL       | Tm         | Opp         | W-L        | NULL         | GB         | D/N          | NULL               | Streak         |
| 2015-04-13   | 0               | 0                 | 7          | BOS        | WSN         | 5-2        | 1            | up 1.0     | D            | 37203              | +              |
| 2015-04-14   | 0               | 0                 | 8          | BOS        | WSN         | 6-2        | 1            | up 1.0     | N            | 35258              | ++             |
| 2015-04-15   | 0               | 0                 | 9          | BOS        | WSN         | 6-3        | 1            | up 1.0     | D            | 33493              | -              |
| 2015-04-17   | 0               | 0                 | 10         | BOS        | BAL         | 7-3        | 1            | up 1.5     | N            | 34341              | +              |
| 2015-04-18   | 1               | 0                 | 11         | BOS        | BAL         | 7-4        | 1            | up 1.0     | D            | 37655              | -              |
| 2015-04-19   | 1               | 0                 | 12         | BOS        | BAL         | 7-5        | 1            | Tied       | D            | 37761              | --             |
| 2015-04-20   | 0               | 0                 | 13         | BOS        | BAL         | 8-5        | 1            | up 1.0     | D            | 36829              | +              |
| 2015-04-27   | 0               | 0                 | 20         | BOS        | TOR         | 11-9       | 2            | 1.0        | N            | 34739              | +              |
| 2015-04-28   | 0               | 0                 | 21         | BOS        | TOR         | 11-10      | 2            | 2.0        | N            | 33920              | -              |
| 2015-04-29   | 0               | 0                 | 22         | BOS        | TOR         | 12-10      | 2            | 1.0        | N            | 34220              | +              |
| 2015-05-01   | 0               | 0                 | 23         | BOS        | NYY         | 12-11      | 3            | 2.0        | N            | 35444              | -              |
| 2015-05-02   | 1               | 0                 | 24         | BOS        | NYY         | 12-12      | 3            | 3.0        | D            | 36611              | --             |
| 2015-05-03   | 1               | 0                 | 25         | BOS        | NYY         | 12-13      | 4            | 4.0        | N            | 33198              | ---            |
| 2015-05-04   | 0               | 0                 | 26         | BOS        | TBR         | 12-14      | 5            | 4.0        | N            | 34541              | ----           |
