Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2011-3-31,0,0,1,NYY,DET,1-0,1,up 0.5,D,48226,+
2011-4-2,1,1,2,NYY,DET,2-0,1,Tied,D,41462,++
2011-4-3,1,1,3,NYY,DET,2-1,2,1.0,D,40574,-
2011-4-4,0,1,4,NYY,MIN,3-1,2,1.0,N,40311,+
2011-4-5,0,1,5,NYY,MIN,3-2,3,1.5,N,40267,-
2011-4-7,0,1,6,NYY,MIN,4-2,2,1.0,D,41512,+
2011-4-13,0,1,10,NYY,BAL,6-4,1,Tied,N,42171,+
2011-4-14,0,1,11,NYY,BAL,7-4,1,up 1.0,N,40517,++
2011-4-15,0,0,12,NYY,TEX,7-5,1,up 0.5,N,40814,-
2011-4-16,1,1,13,NYY,TEX,8-5,1,up 1.5,D,41876,+
2011-4-17,1,1,14,NYY,TEX,9-5,1,up 2.5,N,40811,++
2011-4-25,0,1,19,NYY,CHW,12-7,1,up 2.5,N,40506,-
2011-4-26,0,1,20,NYY,CHW,12-8,1,up 2.0,N,40785,--
2011-4-27,0,1,21,NYY,CHW,13-8,1,up 2.0,N,40586,+
2011-4-28,0,1,22,NYY,CHW,14-8,1,up 1.5,N,40081,++
2011-4-29,0,0,23,NYY,TOR,14-9,1,up 1.5,N,40830,-
2011-4-30,1,0,24,NYY,TOR,15-9,1,up 1.5,D,42460,+
2011-5-1,1,0,25,NYY,TOR,16-9,1,up 2.5,D,43363,++
2011-5-10,0,1,33,NYY,KCR,20-13,1,up 1.0,N,41275,++
2011-5-11,0,1,34,NYY,KCR,20-14,1,Tied,N,40164,-
2011-5-12,0,1,35,NYY,KCR,20-15,2,1.0,N,41790,--
2011-5-13,0,0,36,NYY,BOS,20-16,2,2.0,N,48254,---
2011-5-14,1,0,37,NYY,BOS,20-17,2,2.0,N,48790,----
2011-5-15,1,0,38,NYY,BOS,20-18,2,2.0,N,46945,-----
2011-5-20,0,0,43,NYY,NYM,23-20,3,1.0,N,47874,-
2011-5-21,1,0,44,NYY,NYM,24-20,1,Tied,N,48286,+
2011-5-22,1,0,45,NYY,NYM,25-20,1,Tied,D,48293,++
2011-5-23,0,1,46,NYY,TOR,25-21,1,Tied,N,41946,-
2011-5-24,0,1,47,NYY,TOR,26-21,1,up 0.5,N,41519,+
2011-5-25,0,1,48,NYY,TOR,27-21,1,up 0.5,D,43201,++
2011-6-7,0,0,58,NYY,BOS,33-25,1,Tied,N,48450,-
2011-6-8,0,0,59,NYY,BOS,33-26,2,1.0,N,47863,--
2011-6-9,0,0,60,NYY,BOS,33-27,2,2.0,N,48845,---
2011-6-10,0,1,61,NYY,CLE,34-27,2,2.0,N,45679,+
2011-6-11,1,1,62,NYY,CLE,35-27,2,2.0,D,47048,++
2011-6-12,1,1,63,NYY,CLE,36-27,2,2.0,D,46791,+++
2011-6-13,0,1,64,NYY,CLE,36-28,2,2.5,N,43551,-
2011-6-14,0,1,65,NYY,TEX,37-28,2,1.5,N,43457,+
2011-6-15,0,1,66,NYY,TEX,38-28,2,1.5,N,45969,++
2011-6-16,0,1,67,NYY,TEX,39-28,2,1.5,D,47487,+++
2011-6-24,0,1,74,NYY,COL,43-31,2,0.5,N,46028,--
2011-6-25,1,1,75,NYY,COL,44-31,1,up 0.5,D,46900,+
2011-6-26,1,1,76,NYY,COL,45-31,1,up 0.5,D,47894,++
2011-6-28,0,1,77,NYY,MIL,46-31,1,up 1.5,N,45575,+++
2011-6-29,0,1,78,NYY,MIL,47-31,1,up 2.5,N,46450,++++
2011-6-30,0,0,79,NYY,MIL,48-31,1,up 2.5,D,46903,+++++
2011-7-7,0,1,86,NYY,TBR,51-35,2,0.5,N,47787,--
2011-7-9,1,0,87,NYY,TBR,52-35,2,1.0,D,48103,+
2011-7-10,1,1,88,NYY,TBR,53-35,2,1.0,D,47350,++
2011-7-22,0,1,97,NYY,OAK,58-39,2,2.0,N,46921,+
2011-7-23,1,1,98,NYY,OAK,58-40,2,3.0,D,46188,-
2011-7-24,1,0,99,NYY,OAK,59-40,2,3.0,D,45586,+
2011-7-25,0,1,100,NYY,SEA,60-40,2,2.0,N,44365,++
2011-7-26,0,1,101,NYY,SEA,61-40,2,2.0,N,46132,+++
2011-7-27,0,0,102,NYY,SEA,61-41,2,3.0,D,47090,-
2011-7-29,0,0,103,NYY,BAL,61-42,2,2.5,N,46499,--
2011-7-30,1,1,104,NYY,BAL,62-42,2,2.0,D,46469,+
2011-7-30,1,1,105,NYY,BAL,63-42,2,2.0,N,43190,++
2011-7-31,1,0,106,NYY,BAL,64-42,2,2.0,D,46913,+++
2011-8-9,0,1,114,NYY,LAA,69-45,2,2.5,N,46466,---
2011-8-10,0,1,115,NYY,LAA,70-45,2,1.5,N,46967,+
2011-8-11,0,0,116,NYY,LAA,71-45,2,1.0,D,47431,++
2011-8-12,0,1,117,NYY,TBR,71-46,2,2.0,N,47894,-
2011-8-13,1,1,118,NYY,TBR,72-46,2,1.0,D,47804,+
2011-8-23,0,1,126,NYY,OAK,77-49,1,Tied,N,47343,-
2011-8-24,0,1,127,NYY,OAK,77-50,2,1.0,N,47271,--
2011-8-25,0,1,128,NYY,OAK,78-50,2,1.0,D,46369,+
2011-9-2,0,1,136,NYY,TOR,83-53,1,up 0.5,N,47240,++
2011-9-3,1,1,137,NYY,TOR,84-53,1,up 0.5,D,47744,+++
2011-9-4,1,1,138,NYY,TOR,85-53,1,up 1.5,D,47464,++++
2011-9-5,0,1,139,NYY,BAL,86-53,1,up 2.5,D,45069,+++++
2011-9-6,0,1,140,NYY,BAL,87-53,1,up 2.5,N,44573,++++++
2011-9-7,0,1,141,NYY,BAL,87-54,1,up 2.5,D,40104,-
2011-9-19,0,1,152,NYY,MIN,92-60,1,up 5.0,D,40045,+
2011-9-20,0,1,153,NYY,TBR,93-60,1,up 6.0,N,46944,++
2011-9-21,0,1,154,NYY,TBR,94-60,1,up 7.5,D,42755,+++
2011-9-21,0,1,155,NYY,TBR,95-60,1,up 7.5,N,45586,++++
2011-9-22,0,1,156,NYY,TBR,95-61,1,up 7.0,N,47470,-
2011-9-24,1,1,157,NYY,BOS,96-61,1,up 8.0,D,49556,+
2011-9-25,1,1,158,NYY,BOS,97-61,1,up 8.0,D,49541,++
2011-9-25,1,1,159,NYY,BOS,97-62,1,up 8.0,N,49072,-
Date,Weekend,Promotion,Gm#,Tm,Opp,W-L,Rank,GB,D/N,Attendance,Streak
2012-4-13,0,0,7,NYY,LAA,4-3,1,Tied,D,49386,++++
2012-4-14,1,0,8,NYY,LAA,4-4,2,1.0,D,46829,-
2012-4-15,1,0,9,NYY,LAA,5-4,1,Tied,N,41055,+
2012-4-16,0,1,10,NYY,MIN,5-5,3,1.0,N,40218,-
2012-4-17,0,0,11,NYY,MIN,6-5,3,1.0,N,40194,+
2012-4-18,0,1,12,NYY,MIN,6-6,3,1.0,N,36831,-
2012-4-19,0,1,13,NYY,MIN,7-6,2,1.0,N,40327,+
2012-4-27,0,0,19,NYY,DET,11-8,3,1.5,N,41200,+
2012-4-28,1,1,20,NYY,DET,11-9,3,1.5,D,44686,-
