Gm#,MeanTemperatureF,MeanHumidity,MeanVisibilityMiles,MeanWindSpeedMPH,Events,Weekend,Promotion,Opp,W,L,Rank,D/N,Streak,GB,Attendance
1,40,77,9,11,Rain,0,0,DET,1,0,1,1,+,0.5,48226
2,47,44,10,10,None,1,1,DET,2,0,1,1,++,0,41462
3,50,35,10,10,None,1,1,DET,2,1,2,1,-,-1,40574
4,53,68,9,7,Rain,0,1,MIN,3,1,2,0,+,-1,40311
5,54,63,8,11,Rain,0,1,MIN,3,2,3,0,-,-1.5,40267
6,47,71,10,6,Rain,0,1,MIN,4,2,2,1,+,-1,41512
10,47,93,4,12,Rain,0,1,BAL,6,4,1,0,+,0,42171
11,59,56,10,6,None,0,1,BAL,7,4,1,0,++,1,40517
12,49,53,10,10,None,0,0,TEX,7,5,1,0,-,0.5,40814
13,48,85,6,12,Rain,1,1,TEX,8,5,1,1,+,1.5,41876
14,56,61,8,9,Rain,1,1,TEX,9,5,1,0,++,2.5,40811
19,66,79,4,5,None,0,1,CHW,12,7,1,0,-,2.5,40506
20,69,76,6,6,Fog,0,1,CHW,12,8,1,0,--,2,40785
21,68,81,10,7,None,0,1,CHW,13,8,1,0,+,2,40586
22,67,80,8,7,Rain,0,1,CHW,14,8,1,0,++,1.5,40081
23,62,49,10,7,None,0,0,TOR,14,9,1,0,-,1.5,40830
24,59,48,10,5,None,1,0,TOR,15,9,1,1,+,1.5,42460
25,60,53,10,5,None,1,0,TOR,16,9,1,1,++,2.5,43363
33,64,53,10,6,None,0,1,KCR,20,13,1,0,++,1,41275
34,62,64,10,6,None,0,1,KCR,20,14,1,0,-,0,40164
35,63,61,10,5,None,0,1,KCR,20,15,2,0,--,-1,41790
36,60,70,10,3,None,0,0,BOS,20,16,2,0,---,-2,48254
37,61,77,10,5,None,1,0,BOS,20,17,2,0,----,-2,48790
38,64,92,3,4,Fog-Rain,1,0,BOS,20,18,2,0,-----,-2,46945
43,61,87,4,1,Rain,0,0,NYM,23,20,3,0,-,-1,47874
44,67,77,4,3,Rain,1,0,NYM,24,20,1,0,+,0,48286
45,56,93,5,5,None,1,0,NYM,25,20,1,1,++,0,48293
46,61,93,5,6,Fog-Rain,0,1,TOR,25,21,1,0,-,0,41946
47,74,76,6,5,Fog,0,1,TOR,26,21,1,0,+,0.5,41519
48,75,58,10,4,None,0,1,TOR,27,21,1,1,++,0.5,43201
58,77,58,9,6,None,0,0,BOS,33,25,1,0,-,0,48450
59,84,57,8,4,None,0,0,BOS,33,26,2,0,--,-1,47863
60,82,71,6,4,Rain,0,0,BOS,33,27,2,0,---,-2,48845
61,79,75,7,5,None,0,1,CLE,34,27,2,0,+,-2,45679
62,66,90,4,10,Rain,1,1,CLE,35,27,2,1,++,-2,47048
63,66,84,9,6,None,1,1,CLE,36,27,2,1,+++,-2,46791
64,67,75,6,5,Rain,0,1,CLE,36,28,2,0,-,-2.5,43551
65,65,73,9,5,Rain,0,1,TEX,37,28,2,0,+,-1.5,43457
66,70,57,10,5,None,0,1,TEX,38,28,2,0,++,-1.5,45969
67,73,65,9,4,None,0,1,TEX,39,28,2,1,+++,-1.5,47487
74,68,95,3,6,Rain,0,1,COL,43,31,2,0,--,-0.5,46028
75,72,77,6,4,None,1,1,COL,44,31,1,1,+,0.5,46900
76,73,65,10,4,None,1,1,COL,45,31,1,1,++,0.5,47894
77,78,78,8,3,None,0,1,MIL,46,31,1,0,+++,1.5,45575
78,76,71,8,4,Rain,0,1,MIL,47,31,1,0,++++,2.5,46450
79,74,56,10,5,None,0,0,MIL,48,31,1,1,+++++,2.5,46903
86,83,65,8,4,None,0,1,TBR,51,35,2,0,--,-0.5,47787
87,78,67,6,4,None,1,0,TBR,52,35,2,1,+,-1,48103
88,77,55,10,2,None,1,1,TBR,53,35,2,1,++,-1,47350
97,94,55,8,5,None,0,1,OAK,58,39,2,0,+,-2,46921
98,92,55,10,4,None,1,1,OAK,58,40,2,1,-,-3,46188
99,85,64,8,4,Rain,1,0,OAK,59,40,2,1,+,-3,45586
100,74,77,8,5,Rain,0,1,SEA,60,40,2,0,++,-2,44365
101,80,66,9,4,Rain,0,1,SEA,61,40,2,0,+++,-2,46132
102,76,67,10,4,None,0,0,SEA,61,41,2,1,-,-3,47090
103,78,82,3,4,Fog-Rain,0,0,BAL,61,42,2,0,--,-2.5,46499
104,83,63,10,5,None,1,1,BAL,62,42,2,1,+,-2,46469
105,83,63,10,5,None,1,1,BAL,63,42,2,0,++,-2,43190
106,81,57,10,3,Thunderstorm,1,0,BAL,64,42,2,1,+++,-2,46913
114,77,85,5,4,Fog-Rain,0,1,LAA,69,45,2,0,---,-2.5,46466
115,78,68,10,5,None,0,1,LAA,70,45,2,0,+,-1.5,46967
116,76,54,10,4,None,0,0,LAA,71,45,2,1,++,-1,47431
117,74,52,10,3,None,0,1,TBR,71,46,2,0,-,-2,47894
118,77,62,10,3,None,1,1,TBR,72,46,2,1,+,-1,47804
126,70,58,10,4,None,0,1,OAK,77,49,1,0,-,0,47343
127,74,63,10,7,None,0,1,OAK,77,50,2,0,--,-1,47271
128,75,87,6,7,Fog-Rain,0,1,OAK,78,50,2,1,+,-1,46369
136,72,70,10,4,None,0,1,TOR,83,53,1,0,++,0.5,47240
137,75,73,9,5,None,1,1,TOR,84,53,1,1,+++,0.5,47744
138,79,75,8,5,None,1,1,TOR,85,53,1,1,++++,1.5,47464
139,77,78,9,5,None,0,1,BAL,86,53,1,1,+++++,2.5,45069
140,68,91,4,8,Rain,0,1,BAL,87,53,1,0,++++++,2.5,44573
141,65,97,4,11,Rain,0,1,BAL,87,54,1,1,-,2.5,40104
152,60,64,10,5,None,0,1,MIN,92,60,1,1,+,5,40045
153,65,83,8,4,Rain,0,1,TBR,93,60,1,0,++,6,46944
154,68,84,6,2,Rain,0,1,TBR,94,60,1,1,+++,7.5,42755
155,68,84,6,2,Rain,0,1,TBR,95,60,1,0,++++,7.5,45586
156,74,85,5,2,Rain,0,1,TBR,95,61,1,0,-,7,47470
157,73,90,8,2,None,1,1,BOS,96,61,1,1,+,8,49556
158,75,80,10,1,None,1,1,BOS,97,61,1,1,++,8,49541
159,75,80,10,1,None,1,1,BOS,97,62,1,0,-,8,49072
7,54,40,10,3,None,0,0,LAA,4,3,1,1,++++,0,49386
8,61,31,10,3,Rain,1,0,LAA,4,4,2,1,-,-1,46829
9,68,53,10,4,Rain,1,0,LAA,5,4,1,0,+,0,41055
10,77,54,9,6,None,0,1,MIN,5,5,3,0,-,-1,40218
11,70,39,10,6,None,0,0,MIN,6,5,3,0,+,-1,40194
12,56,55,10,5,Rain,0,1,MIN,6,6,3,0,-,-1,36831
13,59,61,9,2,Rain,0,1,MIN,7,6,2,0,+,-1,40327
19,49,70,10,9,None,0,0,DET,11,8,3,0,+,-1.5,41200
20,49,42,10,6,None,1,1,DET,11,9,3,1,-,-1.5,44686
21,54,35,10,6,None,1,1,DET,12,9,3,1,+,-1.5,43084
22,53,47,10,4,None,0,0,BAL,13,9,3,0,++,-1.5,36890
23,60,82,6,4,Rain,0,0,BAL,13,10,3,0,-,-2.5,37790
24,52,90,7,6,Rain,0,0,BAL,13,11,4,0,--,-3.5,39360
29,61,80,9,5,Rain,0,1,TBR,16,13,3,0,++,-2.5,37086
30,63,89,4,3,Rain,0,1,TBR,16,14,4,0,-,-3.5,38024
31,58,68,8,6,Rain,0,1,TBR,17,14,4,0,+,-2.5,37720
32,59,42,10,6,None,0,0,SEA,18,14,3,0,++,-2.5,37226
33,66,38,10,4,None,1,1,SEA,19,14,3,1,+++,-2.5,43954
34,72,49,10,4,None,1,1,SEA,19,15,3,1,-,-2.5,41631
